id,kategori,status,text,created_at,pasangan_id,rasio_kemiripan,alasan
7722,near_duplicate,duplikat,Hatur nuhun Bobotoh atas kontribusi dan kepedulian luar biasa bagi saudara-saudara kita yang terdampak banjir dan longsor di Sumatera.  Seluruh bantuan telah disalurkan melalui Dompet Dhuafa Jawa Barat dalam charity event kolaborasi bersama APPI  Sampai jumpa di event,2026-01-10,1549,0.9499,Kemiripan 95% dengan id 1549
7786,near_duplicate,duplikat,"Masalahnya, servis laptop pasti ga ada yg buka bahkan masih berdiri di daerah banjir parah. Mereka harus ke kota buat bisa perbaiki laptopnya which is a hard thing to do since jalan kab pidie ke kota banda aceh masih belum diperbaiki",2026-01-13,1562,0.9313,Kemiripan 93% dengan id 1562
1583,near_duplicate,duplikat,"Perjuangan tanpa henti untuk mengembalikan terang dan harapan masyarakat Aceh. Sudah sebulan lebih pascabencana banjir yang melanda wilayah Aceh, salah satu yang paling parah terdampak adalah Kecamatan Takengon, Kabupaten Aceh Tengah. Petugas PLN selalu bersiaga, medan sulit 1 263",2026-01-12,1566,0.9291,Kemiripan 93% dengan id 1566
7789,near_duplicate,duplikat,"Banjir bandang dan longsor di Aceh, Sumut & Sumbar menunjukkan bahwa pengelolaan Daerah Aliran Sungai (DAS) harus diperkuat lewat reforestasi, rehabilitasi hulu sungai, dan tata ruang yang lebih bijak agar risiko bencana berkurang di masa depan.  Solusi jangka panjang bukan hanya",2026-01-13,1601,0.9559,Kemiripan 96% dengan id 1601
7793,near_duplicate,duplikat,"Ngapain pakai persiapan segala, Aceh-Sumbar-Sumut sudah teruji. Sebulan lebih mrk survive ditengah² Banjir Lumpur dan tumpukan kayu gelondongan. Secara akal pasti kita juga mampu. Gak perlu siap², Yg penting kita selalu ingat Alloh minta perlindungan padaNya.",2026-01-12,1604,0.9255,Kemiripan 93% dengan id 1604
7802,near_duplicate,duplikat,Sebanyak 100 keluarga korban banjir bandang di Gampong Geunteng diusulkan masuk huntara Pidie Jaya karena rumah rusak berat dan tertimbun lumpur. #gta777aceh #portalberitaacehterkini,2026-01-12,1667,0.9482,Kemiripan 95% dengan id 1667
7819,near_duplicate,duplikat,Rossa Salurkan Zakat Mal 500 Juta untuk Korban banjir Sumatra dan Ajar Publik Berdonasi,2025-12-30,1772,0.9223,Kemiripan 92% dengan id 1772
8141,near_duplicate,duplikat,"Lebih dari 180 ribu rumah luluh lantak, akibat banjir sumatra. Namun banjir & longsor susulan masih mengintai. Lumpur & jutaan meter kubik kayu masih berserak. Para penyintas belum bisa kembali pulang.  Saksikan #RealitasMetroTV ""Tengoklah Rumah Kami"" Sabtu, 20 Desember 2025",2025-12-19,1840,0.9689,Kemiripan 97% dengan id 1840
8142,near_duplicate,duplikat,"Lebih dari seribu jiwa meninggal dunia dan tidak kurang dari 200 jiwa belum ditemukan sejak banjir bandang Sumatra, selasa 25 November 2025.  Tidak hanya kehilangan sandang & pangan, sebagian penyintas juga kehilangan sumber penghidupan. Mereka kesulitan kembali pulang.  Saksikan",2025-12-19,1842,0.9485,Kemiripan 95% dengan id 1842
1915,near_duplicate,duplikat,"Badan Nasional Penanggulangan Bencana (BNPB) memperbarui data pada Sabtu (13/12/2025) pagi, terkait bencana banjir dan longsor yang melanda sejumlah wilayah di Sumatra. BNPB menegaskan, data ini masih bersifat dinamis dan akan terus diperbarui. Petugas lapangan masih melakukan Tampilkan lebih banyak",2025-12-13,1892,0.9419,Kemiripan 94% dengan id 1892
